"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"90","Myodes gapperi","Animalia","Mammalia","Rodentia","3327","Myodes gapperi","Cricetidae","accepted name","Myodes","Cricetidae"
"91","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","766","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Peromyscus maniculatus"
"92","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3375","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Mammalia"
"93","Mustela erminea","Animalia","Mammalia","Carnivora","3375","Mustela erminea","Mustelidae","accepted name","Mustela","Mammalia"
"94","Mustela frenata","Animalia","Mammalia","Carnivora","3375","Mustela frenata","Mustelidae","accepted name","Mustela","Mammalia"
"95","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3209","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Mammalia"
"96","Phenacomys intermedius","Animalia","Mammalia","Rodentia","3209","Phenacomys intermedius","Cricetidae","accepted name","Phenacomys","Mammalia"
"97","Mustela erminea","Animalia","Mammalia","Carnivora","3209","Mustela erminea","Mustelidae","accepted name","Mustela","Mammalia"
"98","Myodes gapperi","Animalia","Mammalia","Rodentia","3209","Myodes gapperi","Cricetidae","accepted name","Myodes","Mammalia"
"99","Peromyscus maniculatus","Animalia","Mammalia","Rodentia","3262","Peromyscus maniculatus","Cricetidae","accepted name","Peromyscus","Peromyscus maniculatus"
"100","Dicrostonyx groenlandicus","Animalia","Mammalia","Rodentia","3703","Dicrostonyx groenlandicus","Cricetidae","accepted name","Dicrostonyx","Animalia"
"101","Lemmus trimucronatus","Animalia","Mammalia","Rodentia","3703","Lemmus trimucronatus","Cricetidae","accepted name","Lemmus","Animalia"
"102","Buteo lagopus","Animalia","Aves","Accipitriformes","3703","Buteo lagopus","Accipitridae","accepted name","Buteo","Animalia"
"103","Stercorarius longicaudus","Animalia","Aves","Charadriiformes","3703","Stercorarius longicaudus","Stercorariidae","accepted name","Stercorarius","Animalia"
"104","Bubo scandiacus","Animalia","Aves","Strigiformes","3703","Bubo scandiacus","Strigidae","accepted name","Bubo","Animalia"
"105","Dicrostonyx richardsoni","Animalia","Mammalia","Rodentia","3295","Dicrostonyx richardsoni","Cricetidae","accepted name","Dicrostonyx","Animalia"
"106","Branta canadensis","Animalia","Aves","Anseriformes","3295","Branta canadensis","Anatidae","accepted name","Branta","Animalia"
"107","Rattus rattus","Animalia","Mammalia","Rodentia","893","Rattus rattus","Muridae","accepted name","Rattus","Animalia"
"108","Trichosurus vulpecula","Animalia","Mammalia","Diprotodontia","893","Trichosurus vulpecula","Phalangeridae","accepted name","Trichosurus","Animalia"
"109","Callaeas cinerea","Animalia","Aves","Passeriformes","893","Callaeas cinerea","Meliphagidae","accepted name","Callaeas","Animalia"
"110","Rattus rattus","Animalia","Mammalia","Rodentia","3952","Rattus rattus","Muridae","accepted name","Rattus","Animalia"
"111","Felis catus","Animalia","Mammalia","Carnivora","3952","Felis catus","Felidae","accepted name","Felis","Animalia"
"112","Pachyptila belcheri","Animalia","Aves","Procellariiformes","3952","Pachyptila belcheri","Procellariidae","accepted name","Pachyptila","Animalia"
"113","Rattus rattus","Animalia","Mammalia","Rodentia","3925","Rattus rattus","Muridae","accepted name","Rattus","Animalia"
"114","Rattus exulans","Animalia","Mammalia","Rodentia","3925","Rattus exulans","Muridae","accepted name","Rattus","Animalia"
"115","Felis catus","Animalia","Mammalia","Carnivora","3925","Felis catus","Felidae","accepted name","Felis","Animalia"
"116","Acrocephalus aequinoctialis","Animalia","Aves","Passeriformes","3925","Acrocephalus aequinoctialis","Acrocephalidae","accepted name","Acrocephalus","Animalia"
"117","Rattus norvegicus","Animalia","Mammalia","Rodentia","2622","Rattus norvegicus","Muridae","accepted name","Rattus","Rattus norvegicus"
"118","Rattus norvegicus","Animalia","Mammalia","Rodentia","1475","Rattus norvegicus","Muridae","accepted name","Rattus","Muridae"
"119","Apodemus agrarius","Animalia","Mammalia","Rodentia","1475","Apodemus agrarius","Muridae","accepted name","Apodemus","Muridae"
"120","Myocastor coypus","Animalia","Mammalia","Rodentia","4314","Myocastor coypus","Myocastoridae","accepted name","Myocastor","Animalia"
"121","Panurus biarmicus","Animalia","Aves","Passeriformes","4314","Panurus biarmicus","Panuridae","accepted name","Panurus","Animalia"
"122","Inia geoffrensis","Animalia","Mammalia","Cetacea","2671","Inia geoffrensis","Iniidae","accepted name","Inia","Inia geoffrensis"
"123","Inia geoffrensis","Animalia","Mammalia","Cetacea","2666","Inia geoffrensis","Iniidae","accepted name","Inia","Inia geoffrensis"
"124","Platanista gangetica","Animalia","Mammalia","Cetacea","1376","Platanista gangetica","Platanistidae","accepted name","Platanista","Animalia"
"125","Lutrogale perspicillata","Animalia","Mammalia","Carnivora","1376","Lutrogale perspicillata","Mustelidae","accepted name","Lutrogale","Animalia"
"126","Gavialis gangeticus","Animalia","Reptilia","Crocodylia","1376","Gavialis gangeticus","Gavialidae","accepted name","Gavialis","Animalia"
"127","Setipinna brevifilis","Animalia","Actinopterygii","Clupeiformes","1376","Setipinna brevifilis","Engraulidae","accepted name","Setipinna","Animalia"
"128","Mystus cavasius","Animalia","Actinopterygii","Siluriformes","1376","Mystus cavasius","Bagridae","accepted name","Mystus","Animalia"
"129","Puntius sophore","Animalia","Actinopterygii","Cypriniformes","1376","Puntius sophore","Cyprinidae","accepted name","Puntius","Animalia"
"130","Macrognathus pancalus","Animalia","Actinopterygii","Synbranchiformes","1376","Macrognathus pancalus","Mastacembelidae","accepted name","Macrognathus","Animalia"
"131","Osteobrama cotio","Animalia","Actinopterygii","Cypriniformes","1376","Osteobrama cotio","Cyprinidae","accepted name","Osteobrama","Animalia"
"132","Sperata seenghala","Animalia","Actinopterygii","Siluriformes","1376","Sperata seenghala","Bagridae","accepted name","Sperata","Animalia"
"133","Tursiops truncatus","Animalia","Mammalia","Cetacea","3027","Tursiops truncatus","Delphinidae","accepted name","Tursiops","Tursiops truncatus"
"134","Tursiops truncatus","Animalia","Mammalia","Cetacea","2490","Tursiops truncatus","Delphinidae","accepted name","Tursiops","Tursiops truncatus"
"135","Delphinus delphis","Animalia","Mammalia","Cetacea","4448","Delphinus delphis","Delphinidae","accepted name","Delphinus","Delphinus delphis"
"136","Delphinus delphis","Animalia","Mammalia","Cetacea","1672","Delphinus delphis","Delphinidae","accepted name","Delphinus","Animalia"
"137","Balaenoptera edeni","Animalia","Mammalia","Cetacea","1672","Balaenoptera edeni","Balaenopteridae","accepted name","Balaenoptera","Animalia"
"138","Oceanodroma melania","Animalia","Aves","Procellariiformes","1672","Oceanodroma melania","Hydrobatidae","accepted name","Oceanodroma","Animalia"
"139","Sula nebouxii","Animalia","Aves","Suliformes","1672","Sula nebouxii","Sulidae","accepted name","Sula","Animalia"
"140","Balaenoptera physalus","Animalia","Mammalia","Cetacea","1672","B. physalus","Balaenopteridae","accepted name","Balaenoptera","Animalia"
"141","Oceanodroma microsoma","Animalia","Aves","Procellariiformes","1672","O. microsoma","Hydrobatidae","accepted name","Oceanodroma","Animalia"
"142","Lagenorhynchus australis","Animalia","Mammalia","Cetacea","4444","Lagenorhynchus australis","Delphinidae","accepted name","Lagenorhynchus","Lagenorhynchus australis"
"143","Orcinus orca","Animalia","Mammalia","Cetacea","2099","Orcinus orca","Delphinidae","accepted name","Orcinus","Mammalia"
"144","Phocoenoides dalli","Animalia","Mammalia","Cetacea","2099","Phocoenoides dalli","Phocoenidae","accepted name","Phocoenoides","Mammalia"
"145","Megaptera novaeangliae","Animalia","Mammalia","Cetacea","2099","Megaptera novaeangliae","Balaenopteridae","accepted name","Megaptera","Mammalia"
"146","Callorhinus ursinus","Animalia","Mammalia","Carnivora","2099","Callorhinus ursinus","Otariidae","accepted name","Callorhinus","Mammalia"
"147","Mirounga angustirostris","Animalia","Mammalia","Carnivora","2099","Mirounga angustirostris","Phocidae","accepted name","Mirounga","Mammalia"
"148","Phocoena phocoena","Animalia","Mammalia","Cetacea","2392","Phocoena phocoena","Phocoenidae","accepted name","Phocoena","Phocoena phocoena"
"149","Phocoenoides dalli","Animalia","Mammalia","Cetacea","4443","Phocoenoides dalli","Phocoenidae","accepted name","Phocoenoides","Phocoenoides dalli"
"150","Eschrichtius robustus","Animalia","Mammalia","Cetacea","2095","Eschrichtius robustus","Eschrichtiidae","accepted name","Eschrichtius","Eschrichtius robustus"
"151","Balaenoptera edeni","Animalia","Mammalia","Cetacea","4446","Balaenoptera edeni","Balaenopteridae","accepted name","Balaenoptera","Cetacea"
"152","Megaptera novaeangliae","Animalia","Mammalia","Cetacea","4446","Megaptera novaeangliae","Balaenopteridae","accepted name","Megaptera","Cetacea"
"153","Eubalaena australis","Animalia","Mammalia","Cetacea","4446","Eubalaena australis","Balaenidae","accepted name","Eubalaena","Cetacea"
"154","Delphinus capensis","Animalia","Mammalia","Cetacea","4446","Delphinus capensis","Delphinidae","accepted name","Delphinus","Cetacea"
"155","Tursiops aduncus","Animalia","Mammalia","Cetacea","4446","Tursiops aduncus","Delphinidae","accepted name","Tursiops","Cetacea"
"156","Balaenoptera musculus","Animalia","Mammalia","Cetacea","3498","Balaenoptera musculus","Balaenopteridae","accepted name","Balaenoptera","Balaenoptera musculus"
"157","Megaptera novaeangliae","Animalia","Mammalia","Cetacea","1901","Megaptera novaeangliae","Balaenopteridae","accepted name","Megaptera","Megaptera novaeangliae"
"158","Megaptera novaeangliae","Animalia","Mammalia","Cetacea","1517","Megaptera novaeangliae","Balaenopteridae","accepted name","Megaptera","Megaptera novaeangliae"
"159","Megaptera novaeangliae","Animalia","Mammalia","Cetacea","2103","Megaptera novaeangliae","Balaenopteridae","accepted name","Megaptera","Megaptera novaeangliae"
"160","Eubalaena glacialis","Animalia","Mammalia","Cetacea","2094","Eubalaena glacialis","Balaenidae","accepted name","Eubalaena","Eubalaena glacialis"
"161","Ursus arctos","Animalia","Mammalia","Carnivora","3309","Ursus arctos","Ursidae","accepted name","Ursus","Ursus"
"162","Ursus americanus","Animalia","Mammalia","Carnivora","3309","U. americanus","Ursidae","accepted name","Ursus","Ursus"
