"","RN","Trend_01_60","Trend_02_60","Trend_05_60","Trend_01_maj","Trend_02_maj","Trend_05_maj","Trend_sig_01_60","Trend_sig_005_60","Trend_sig_01_maj","Trend_sig_005_maj","av_lmbd","loCI","upCI","se","p","N","Trend_meta_01","Trend_meta_005"
"146",1126,"Varied","Varied","Stable","Varied","Varied","Stable","Varied","Varied","Varied","Varied",0.013679407296673,-0.0370333408335905,0.0643921554269365,0.025874326533691,0.597022939361618,2,"Stable","Stable"
"147",1157,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.000895124303895756,-0.00324477793809686,0.00503502654588837,0.00211223383421718,0.671725626604509,4,"Stable","Stable"
"148",1161,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.0648440247956371,-0.248510577402412,0.118822527811138,NA,0.268084935311737,1,"Stable","Stable"
"149",1165,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.00227474022243987,-0.0523018132811112,0.0477523328362314,NA,0.86296499578071,1,"Stable","Stable"
"150",1173,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.00672375071138674,-0.0158214829258999,0.00237398150312643,NA,0.137352344040969,1,"Stable","Stable"
"151",1179,"Varied","Varied","Varied","Increase","Varied","Varied","Stable","Stable","Stable","Stable",-0.00971117868785335,-0.0961284064439632,0.0767060490682565,0.04409123251129,0.825674961679519,3,"Stable","Stable"
"152",1188,"Varied","Varied","Varied","Varied","Varied","Varied","Stable","Stable","Stable","Stable",0.0259197053423036,-0.412341564945987,0.464180975630594,0.223606797749979,0.907718761375276,4,"Stable","Stable"
"153",1197,"Varied","Varied","Stable","Varied","Stable","Stable","Stable","Stable","Stable","Stable",0.00248457919496748,-0.00769277432574291,0.0126619327156779,0.00519262272214595,0.632306814136272,16,"Stable","Stable"
"154",1211,"Decline","Decline","Varied","Decline","Decline","Stable","Decline","Varied","Decline","Stable",-0.0518306575368074,-0.105724225326296,0.00206291025268087,0.027497223527878,0.0594377374655897,3,"Decline","Stable"
"155",1224,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.0880456295279515,-2.94227746264801,2.76618620359211,NA,0.76219040320117,1,"Stable","Stable"
"156",1225,"Varied","Varied","Stable","Varied","Stable","Stable","Stable","Stable","Stable","Stable",-0.0083332982135872,-0.0171585035447,0.000491907117525633,0.00450273852005697,0.0642101655790021,6,"Decline","Stable"
"157",1240,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.165963022965322,0.0853877295516472,0.246538316378997,NA,0.00235691862368638,1,"Increase","Increase"
"158",1244,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.109706363674661,-0.209754221690066,-0.00965850565925712,NA,0.03823415233132,1,"Decline","Decline"
"159",1246,"Varied","Stable","Stable","Stable","Stable","Stable","Increase","Increase","Increase","Increase",0.00763288961942844,0.00588614597340374,0.00937963326545313,0.000891212113999433,1.08436523536364e-17,3,"Increase","Increase"
"160",1247,"Decline","Stable","Stable","Decline","Stable","Stable","Decline","Decline","Decline","Decline",-0.0154670465206692,-0.0287871908426635,-0.00214690219867503,NA,0.0286793485285964,1,"Decline","Decline"
"161",1249,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.0825948749639653,-0.191618790261728,0.0264290403337974,0.0556254687115322,0.137586432203423,13,"Stable","Stable"
"162",1257,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.288197348570843,0.119252183270884,0.457142513870802,NA,0.00906230771719567,1,"Increase","Increase"
"163",1265,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.073980344813578,0.062545216441624,0.0854154731855321,NA,1.78778363652799e-14,1,"Increase","Increase"
"164",1266,"Decline","Decline","Stable","Decline","Decline","Stable","Stable","Stable","Stable","Stable",-0.02325106914537,NA,NA,NA,NA,1,"Stable","Stable"
"165",1269,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.00519577875150333,NA,NA,NA,NA,1,"Stable","Stable"
"166",1273,"Varied","Varied","Varied","Varied","Varied","Varied","Stable","Stable","Stable","Stable",0.0684364599091551,-0.133418684431942,0.270291604250253,0.102989210992296,0.506369546254428,2,"Stable","Stable"
"167",1277,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.152903992600544,-0.187908476941885,-0.117899508259203,NA,1.72764639599346e-05,1,"Decline","Decline"
"168",1281,"Stable","Stable","Stable","Stable","Stable","Stable","Decline","Decline","Decline","Decline",-0.0038500033546022,-0.00734888539903555,-0.000351121310168854,NA,0.0318091965318499,1,"Decline","Decline"
"169",1282,"Decline","Decline","Varied","Decline","Decline","Varied","Varied","Stable","Varied","Stable",-0.042170343165791,-0.0544181582055823,-0.0299225281259997,0.00624900005122567,1.49551766756203e-11,2,"Decline","Decline"
"170",1286,"Decline","Decline","Decline","Decline","Decline","Decline","Varied","Stable","Stable","Stable",-0.0849360940745393,-0.106116975662594,-0.0637552124864841,0.0108067708157534,3.8559039004415e-15,3,"Decline","Decline"
"171",1292,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.0619118842137745,-0.189072986430028,0.0652492180024792,NA,0.266093344886178,1,"Stable","Stable"
"172",1294,"Decline","Decline","Varied","Decline","Decline","Varied","Varied","Stable","Varied","Stable",-0.129148426390167,-0.345127420375133,0.0868305675947977,0.110195389144178,0.241199131754319,4,"Stable","Stable"
"173",1295,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",0.00661693406693153,-0.0145473702846166,0.0277812384184796,NA,0.491460691115749,1,"Stable","Stable"
"174",1296,"Increase","Increase","Stable","Increase","Increase","Stable","Stable","Stable","Stable","Stable",0.032366778154737,-0.0756455809674929,0.140379137276967,NA,0.475925316080665,1,"Stable","Stable"
"175",1302,"Increase","Stable","Stable","Increase","Stable","Stable","Stable","Stable","Stable","Stable",0.0106546545142225,-0.368448379151572,0.389757688180017,NA,0.781644609200601,1,"Stable","Stable"
"176",1304,"Increase","Increase","Stable","Increase","Increase","Stable","Stable","Stable","Stable","Stable",0.0214271552934805,0.00239031051398263,0.0404640000729784,0.00971285438388566,0.0273796854006672,3,"Increase","Increase"
"177",1305,"Varied","Varied","Decline","Decline","Decline","Decline","Varied","Varied","Varied","Stable",-0.0776445554581639,-0.20030120780107,0.0450120968847426,0.0625810746066798,0.214715317648999,3,"Stable","Stable"
"178",1306,"Increase","Increase","Stable","Increase","Increase","Stable","Increase","Increase","Increase","Increase",0.0370929467753039,0.00991628753993406,0.0642696060106736,NA,0.00984218856149434,1,"Increase","Increase"
"179",1313,"Increase","Increase","Increase","Increase","Increase","Increase","Stable","Stable","Stable","Stable",0.108340169737786,-0.511591267243681,0.728271606719252,NA,0.530534517684153,1,"Stable","Stable"
"180",1334,"Decline","Stable","Stable","Decline","Stable","Stable","Stable","Stable","Stable","Stable",-0.0128950159945615,-0.518955540747225,0.493165508758102,0.258198889747161,0.960168462694076,3,"Stable","Stable"
"181",1337,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.178811133505776,0.0639380723643098,0.293684194647241,0.0586097816325044,0.00228175339736683,3,"Increase","Increase"
"182",1338,"Decline","Stable","Stable","Decline","Stable","Stable","Decline","Decline","Decline","Decline",-0.018279219552572,-0.021576782183264,-0.01498165692188,NA,6.59937688478292e-14,1,"Decline","Decline"
"183",1339,"Increase","Increase","Increase","Increase","Increase","Increase","Stable","Stable","Stable","Stable",0.0505753313121167,-0.156344695701841,0.257495358326074,NA,0.403275896422276,1,"Stable","Stable"
"184",1343,"Decline","Decline","Stable","Decline","Decline","Stable","Decline","Decline","Decline","Decline",-0.0349688847821717,-0.0587474610045451,-0.0111903085597983,NA,0.0103019884206308,1,"Decline","Decline"
"185",1344,"Increase","Stable","Stable","Increase","Stable","Stable","Increase","Increase","Increase","Increase",0.0146775039590616,0.013474579166465,0.0158804287516582,NA,3.75759847560242e-05,1,"Increase","Increase"
"186",1345,"Stable","Stable","Stable","Stable","Stable","Stable","Decline","Decline","Decline","Decline",-0.0084576597346375,-0.0150283890770721,-0.0018869303922029,NA,0.0153193409679755,1,"Decline","Decline"
"187",1346,"Varied","Varied","Varied","Varied","Varied","Varied","Varied","Stable","Varied","Stable",-0.195515621625541,-0.630250621628754,0.239219378377673,0.221807647197779,0.378066326621311,2,"Stable","Stable"
"188",1349,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.0597969212231086,0.0472091950242096,0.0723846474220076,NA,2.49108287162211e-08,1,"Increase","Increase"
"189",1350,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.213681359482691,NA,NA,NA,NA,1,"Stable","Stable"
"190",1354,"Varied","Varied","Varied","Varied","Varied","Varied","Varied","Varied","Varied","Varied",-0.0259039880968843,-0.0803955234821575,0.028587547288389,0.0278023146420524,0.351480959562209,2,"Stable","Stable"
"191",1355,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Stable","Increase","Stable",0.162063284527302,-0.0179904615294063,0.342117030584011,NA,0.0668357567816933,1,"Increase","Stable"
"192",1356,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.0576862901397486,-0.0805718427253296,-0.0348007375541676,NA,5.66370016233712e-05,1,"Decline","Decline"
"193",1357,"Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase","Increase",0.0557128515254886,0.0285777085621444,0.0828479944888328,NA,0.00325077087510383,1,"Increase","Increase"
"194",1358,"Decline","Decline","Decline","Decline","Decline","Decline","Stable","Stable","Stable","Stable",-0.141155191455438,NA,NA,NA,NA,1,"Stable","Stable"
"195",1361,"Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline",-0.218087145325277,-0.318592008772136,-0.117582281878418,NA,0.0018131100947534,1,"Decline","Decline"
"196",1362,"Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable","Stable",-0.00442056599459771,-0.019352050111348,0.0105109181221526,NA,0.542846033421675,1,"Stable","Stable"
